English,Spanish
late ,tarde 
English,Spanish
return ,volver 
English,Spanish
all ,toda 
English,Spanish
those ,esas 
English,Spanish
door ,puerta 
English,Spanish
manner ,manera 
English,Spanish
those ,esos 
English,Spanish
who ,quien 
English,Spanish
path ,camino 
English,Spanish
idea ,idea 
English,Spanish
new ,nueva 
English,Spanish
still ,aún 
English,Spanish
Serious ,serio 
English,Spanish
together ,juntos 
English,Spanish
family ,familia 
English,Spanish
problem ,problema 
English,Spanish
say ,digo 
